rank;challonge_url;color_hex;short_name;name
1;11_GER_sjpf1zod;329932a2;Pro-1;Liga Pro-1 2021/01
2;11_GER_7ibnesc9;32993240;Pro-2;Liga Pro-1 2021/01
11;11_GER_0vwrhteg;1111eecd;A;Liga A 2021/01
12;11_GER_95qnszv5;1111eea2;B;Liga B 2021/01
13;11_GER_ibtnaetx;1111ee74;C;Liga C 2021/01
14;11_GER_0txxcitu;1111ee40;D;Liga D 2021/01
