1,116344,3108, Aiphaton
2,30974,2840, schlumpfhh-ger
3,11002,2797, twISTer1979
4,4410,2753, wurstfriedl
5,21505,2743, Feintlong
6,102686,2677, Cendaru
7,40032,2676, Crisrock61
8,51978,2670, Franz
9,48705,2652, 0rch1
10,262,2608, bonsaizocker
11,129470,2600, MisterDeal
12,149868,2600, kittel
13,93111,2585, CptnDeutschlnd
14,758,2515, peter.r_ger
15,61793,2452, semmel_a(ger)
16,26615,2441, SPLASH
17,178509,2441, MadViolinist
18,122515,2393, Fischerq
19,432,2357, sascha.vieth
20,17997,2349, Atmonix
21,185894,2346, DominicSchmidt29
22,42233,2340, incentive
23,96720,2334, SamuReiGer
24,91638,2321, Rita.Gal.411
25,52,2315, derlux
26,86511,2303, Nolte
27,341,2302, andi.tri
28,77002,2290, wabble8
29,4278,2240, Volkman51(GER)
30,5606,2227, ceekay1109
31,283,2204, Roonny78
32,36316,2166, djbeatzpm(ger)
33,33296,2108, sung.globetrot
34,160095,2035, T-Bone-1895
35,89164,2025, OliN72ger
36,61237,1999, PIUSTIG
37,395,1981, Dietrich_Muenchen
38,136636,1940, Poebbi
39,6840,1916, Det-vom-Dorf
40,1722,1868, tobsnet(GER)
41,107,1829, marcmoni(ger)
42,280,1792, gerald(aut)
43,2668,1783, Katy.S71(GER)
44,41925,1765, Warboo73
45,19,1720, passdscho
46,50629,1658, nightstalk3rx
47,147699,1648, BECKS68
48,187721,1610, Tikyu
49,216742,1600, Partyarti777
50,152271,1585, LostUnki.aut
51,256776,1582, krueni
52,13554,1581, Mandek
53,2190,1580, VRdevil(GER)
54,42189,1525, buxi2010
55,45477,1513, DonDemon
56,264579,1510, beckmich
57,92483,1500, ado
58,5436,1500, Fanisaja_Ge_En
